Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,No,Travel_Rarely,358,Research & Development,16,3,Technical Degree,1,1,4,Female,51,3,2,Research Director,4,Single,4656,15163,2,Y,No,15,3,2,80,0,2,3,1,2,0,1,0
44,Yes,Travel_Rarely,225,Sales,6,2,Medical,1,2,1,Female,43,2,2,Sales Executive,2,Single,5891,3220,2,Y,No,17,3,4,80,1,22,2,3,1,0,0,1
41,Yes,Non-Travel,158,Research & Development,15,4,Technical Degree,1,3,1,Male,79,2,1,Research Director,3,Married,2407,4855,2,Y,No,17,3,3,80,0,17,4,4,2,0,2,1
24,No,Travel_Rarely,337,Research & Development,5,3,Life Sciences,1,4,3,Male,45,3,1,Manager,3,Single,2342,15993,4,Y,Yes,19,3,1,80,1,0,2,3,0,0,0,0
41,No,Travel_Rarely,1095,Research & Development,9,4,Medical,1,5,4,Male,86,3,3,Laboratory Technician,3,Single,6821,10777,4,Y,No,15,3,2,80,3,17,2,2,0,0,0,0
42,No,Travel_Rarely,780,Research & Development,22,5,Other,1,6,3,Female,61,3,4,Manager,2,Married,11105,26860,3,Y,Yes,16,3,4,80,2,17,3,3,0,0,0,0
34,No,Non-Travel,1291,Research & Development,4,4,Other,1,7,4,Male,52,3,3,Research Scientist,4,Single,7204,6315,1,Y,No,18,3,4,80,0,8,4,3,4,4,2,2
22,No,Travel_Rarely,451,Research & Development,1,5,Other,1,8,2,Male,32,1,4,Manager,2,Married,13864,9646,4,Y,Yes,14,3,3,80,1,0,2,3,0,0,0,0
25,Yes,Travel_Frequently,599,Research & Development,6,3,Medical,1,9,1,Female,83,3,3,Manager,3,Divorced,6175,2452,2,Y,No,11,3,3,80,1,2,2,3,0,0,0,0
42,No,Travel_Rarely,641,Sales,8,3,Marketing,1,10,3,Male,97,3,3,Manager,4,Married,9550,24641,1,Y,Yes,12,3,4,80,1,20,1,2,1,0,0,0
48,No,Non-Travel,246,Research & Development,15,3,Technical Degree,1,11,2,Male,93,3,2,Research Scientist,4,Married,5972,14677,0,Y,Yes,21,3,4,80,0,27,2,3,8,2,4,3
34,Yes,Travel_Rarely,1250,Sales,11,3,Marketing,1,12,1,Male,79,3,3,Manager,1,Single,7837,4119,5,Y,No,13,3,4,80,0,12,4,3,0,0,0,0
39,No,Travel_Rarely,736,Sales,27,3,Technical Degree,1,13,4,Female,73,3,3,Sales Executive,1,Single,10720,16646,4,Y,No,16,3,4,80,2,18,3,4,11,0,0,11
34,No,Travel_Rarely,1260,Research & Development,29,3,Medical,1,14,4,Male,69,2,1,Manager,1,Married,2489,3675,7,Y,No,12,3,1,80,2,14,1,3,0,0,0,0
31,No,Travel_Frequently,1471,Research & Development,8,4,Medical,1,15,3,Female,72,3,5,Research Scientist,2,Married,19277,17949,3,Y,No,15,3,3,80,0,10,5,3,4,0,2,2
41,Yes,Travel_Rarely,868,Sales,13,3,Medical,1,16,2,Female,67,3,3,Sales Executive,4,Married,8139,10959,1,Y,Yes,15,3,4,80,2,18,2,1,11,1,0,3
35,Yes,Travel_Rarely,269,Research & Development,2,3,Technical Degree,1,17,2,Male,92,2,1,Manager,1,Married,2474,16877,4,Y,No,11,3,2,80,0,10,3,2,5,4,1,0
38,Yes,Travel_Rarely,1105,Research & Development,29,3,Other,1,18,3,Female,67,3,3,Research Director,3,Divorced,9748,13964,3,Y,Yes,14,3,2,80,0,17,2,3,9,2,6,7
48,No,Travel_Frequently,1396,Sales,10,3,Medical,1,19,3,Male,80,3,3,Sales Executive,3,Single,7722,3291,2,Y,Yes,16,3,3,80,1,23,5,3,7,6,2,6
45,No,Travel_Frequently,1189,Research & Development,5,4,Medical,1,20,4,Male,40,2,4,Manager,4,Single,15512,7188,3,Y,No,19,3,2,80,1,25,3,3,6,3,2,0
37,No,Non-Travel,694,Research & Development,9,2,Medical,1,21,3,Female,81,3,3,Manager,3,Married,11379,25364,4,Y,No,18,3,2,80,0,17,2,3,12,5,0,12
26,No,Travel_Rarely,821,Sales,12,2,Medical,1,22,2,Male,98,3,2,Manager,4,Single,4570,13525,2,Y,No,11,3,3,80,1,2,3,3,2,2,1,0
44,Yes,Travel_Rarely,412,Sales,1,4,Medical,1,23,1,Male,46,2,1,Sales Executive,1,Married,2755,18827,2,Y,No,11,3,1,80,2,22,4,2,0,0,0,0
32,Yes,Travel_Frequently,408,Research & Development,3,4,Other,1,24,4,Male,98,3,3,Research Director,4,Single,9953,21513,2,Y,No,11,3,3,80,2,9,3,3,0,0,0,0
